RCP_TTL,CKG_NM,CKG_MTRL_CN
순대볶음 황금레시피  쫄깃하고 고소하게!,순대볶음,"순대,깻잎,양배추,양파,청양고추,대파  고춧가루,고추장,맛술,간장,설탕,올리고당"
간장 닭볶음탕 레시피 맛나지요,간장닭볶음탕,"닭,조림 감자,양파,대파,당근,월계수잎,통후추,당면,물  간장,매실액,올리고당,마늘,후추,참기름,굴소스,맛술,청주,고춧가루,깨,청양고추,건고추"
백주부 오징어볶음 ,오징어볶음,"오징어,양파,양배추,홍고추,청고추,당근,파,마늘,고추장,고춧가루,간장,설탕,깨소금,참기름,식용유"
떡볶이는 무조건 사랑이야~기름 떡볶이,기름떡볶이,"떡볶이떡,송송썬청양고추,깨,들기름  고추장,양조간장,고춧가루,올리고당,설탕,마늘,청주"
초간단 참치요리! 참치볶음밥 맛있게 만드는 2가지 비법,참치볶음밥,"참치 캔, 계란,양파,파슬리  간장,식용유,후추,참기름,깨"
열매마 하늘마요리 카레라이스,카레라이스,"삼색당근 씩,감자,양파, 햄,붉은파프리카,피망,카레분말 ,강황가루,전분,물,소금,후추,기름"
콩나물불고기 만드는법~ ,콩나물불고기,"삽겹살 ,콩나물 ,대파,양파,당근,청양고추 고추장,마늘,설탕,간장,맛술,깨"
참치볶음밥 맛있게 만드는 법 ,참치볶음밥,"참치 작은거 캔,양배추,양파,대파, 계란  굴소스,소금,후추,포도씨유,스테이크소스"
대패삼겹살 콩불 마성의 콩나물불고기,콩나물불고기,"대패삼겹살,콩나물,당근 쪽,대파,양파  고추장,설탕,진간장,고추가루,간마늘,후추"
진하고 속이 시원한 제철감자로 만든 '감자국' 만들기,감자국,"깍둑썰은 감자,두부,애호박,어슷썰은 대파,풋고추,팽이버섯,물,생생치멸치가루,미더덕가루 간장,고춧가루,마늘,소금"
비오는날 먹어야 제맛인 부침개 맛있게 만드는 황금레시피,부침개,"익은김치,부추,각종야채,부침가루,튀김가루,탄산수,청량고추,홍고추 카레가루,국간장"
닭가슴살로 만든 닭갈비,닭갈비,"닭,양배추,양파,대파,고구마,꽈리고추,청양고추,생우동 , 모짜렐라치즈  고추장,고춧가루,간장,맛술,설탕,마늘,카레가루"
육개장 끓이기 ,육개장,"양지,대파,고사리,숙주,통마늘,통후추,생강,당면  국간장,고춧가루, 마늘,후추,액젓,고추기름"
칼칼한 국물 최고 감자탕,감자탕,"돼지 등뼈,감자,얼갈이 데친거,등뼈삶은물,깻잎,양파,대파,생강,마늘,청고추 기호,홍고추 기호 들깨가루,마늘,된장,고춧가루"
칠리새우  쉬림프박스 만들기  이마트쉬림프링,칠리새우,"칵테일새우,마늘,버터,소금,후추,칠리소스,마요네즈,레몬즙,파마산치즈가루  케찹,고춧가루,간장,식초,설탕"
양배추쌈:양배추찌기 쌈장만들기,양배추쌈,"양배추잎,잡곡 미나리 줄 식초,설탕,소금 꼬집 두부,고추장,참기름,마늘"
콩나물냉국 시원하게 먹는 여름별미,콩나물냉국,"콩나물 ,대파,마늘,다시마 쪽,실고추 꼬집,소금,깨"
데리야끼 소스로 만드는 달콤달콤 데리야끼 보쌈,보쌈,"돼지고기,마늘,후추,양파,된장"
오븐없이 돼지고기 등심 갈릭소스 스테이크 만들기,등심스테이크,"등심 ,스테이크소스,호박,포도씨유,양파 조림,달걀 발사믹 식초,굴 소스  반,올리고당,돈가스소스"
돼지고기/소고기 가지찜,가지찜,"쇠 미역,파프리카 씩,오이,크래미,초고추장  가지, 돼지고기,마늘,참기름,후추 ),청양초,홍초,대파,초간장,진간장"
불고기전골 황금레시피,불고기전골,"쇠고기 불고기용,양파,팽이버섯,붉은 고추,대파  다시마 맛국물,국간장,소금  간장,맛술,파,양파즙,깨소금,참기름,마늘,올리고당,설탕,후추"
전복버터구이 비빔면에 색다른맛!,전복버터구이,"전복,버터,양파,파슬리  마늘,후추"
미역국 ,미역국,"건미역,다시용 디포리,다시용 멸치,다시마,건표고,물  국간장,참기름,마늘,파,어간장"
야식으로 좋은 번데기탕,번데기탕,"번데기통조림,양파,대파,청양고추 고춧가루,깨"
초간단 황태콩나물국 : 아침 속을 풀어주는데 제격이에요~,황태콩나물국,"절단 황태,콩나물,달걀,밀가루,홍고추,대파 마늘,참기름,국간장,소금,후추,고추가루"
라앤타 표 매콤 콩나물 국-맛있게 맵다!!,콩나물국,"콩나물 ,무 센티두께한,다시마,물 리터,멸치액젓,국간장,마늘,파,새우젓,소금,후추,고춧가루,청양고추"
연어 덮밥-사케동 만드는 법,연어덮밥,"연어,적채,쌈채,무순,양파,새싹,케스퍼  와사비,김가루,데리야끼소스"
굴비요리 완전정복/굴비찜  굴비구이&굴비손질법,굴비,"굴비 미,무,양파,청양고추,청경채 간장,고추가루,고추장,설탕,매실액,청주"
두가지 종류의 주먹밥,주먹밥, 밥이랑 포
굴소스 해물볶음밥 만드는 법,해물볶음밥,"모둠해물, 식용유  ,마늘 알,달걀,매운 고추,굴소스 "
오이냉국 만드는 법,오이냉국,"오이,양파,땡초,물  마늘,맛소금,식초,설탕,깨소금"
오징어볶음밥~ 이연복셰프의 레시피 따라잡기,오징어볶음밥,"오징어,무,양파,청경채 마늘,포도씨유"
엘에이갈비구이: 아스파라거스와 함께,LA갈비구이,"갈비 킬로,복분자주 ,청주,양조간장,국간장,양파청,산야초효소,매실액,배즙,파인애플캔,마늘,양파 ,양파링용 양파"
돼지고기로 맛을 더한 든든한 겨울보양식 '비지찌개',비지찌개,"비지, 돼지고기,김치,대파,청양고추  참기름 스푼,마늘,고춧가루,새우젓 스푼"
추석요리에 어울리는 잡채,잡채,"양파,빨간색 파프리카,노란색 파프리카,당근,표고버섯,불린당면 설탕,굴소스,간장,맛술, 돼지고기,소금 소소,후추 소소,맛술"
황태국 시원해서 해장으로도 좋아요 ,황태국,"감자,황태채,대파,홍청양고추,달걀,물  맛술,마늘,국간장,참치액,참기름"
찬밥으로 맛있는 밥전 만들어요~,밥전,"흰 식용유,소금,위생장갑,매운 고추,캔햄,달걀,캔옥수수 작은거 캔,파르펠레  ,튀김가루  양"
속이 꽉 찬 김밥 만들기,김밥," 김밥김,당근,청피망,맛살, 햄,계란  참기름,깨,기름,소금"
감자국 국물이 깔끔한 감자국,감자국,"감자것,달걀,양파,대파,다시마,쌀뜨물  간장,소금,마늘,후추"
간단요리 김치볶음밥,김치볶음밥,"김치,고추장,깨,계란,식용류,파 움큼,콘샐러드,설탕,소금"
소고기무국,소고기무국,"무,소고기 한,대파 참기름,간장,소금,후추"
향이좋은 더덕구이 맛나게 만들어보았어요~~~~,더덕구이,"더덕,잣 고추장,올리고당,진간장,참기름"
단호박죽,단호박죽,"단호박,호박삶는 물,찹쌀,찹쌀불린 물  소금 꼬집"
닭가슴살 감자채볶음,닭가슴살감자채볶음,"닭,감자,양파,당근,대파,소금,후추,올리브오일"
매콤한 한끼~ 오징어볶음 맛있게 만드는법(김진옥요리가좋다),오징어볶음,"오징어,양파,양배추,대파,청양고추 ,고추장,진간장,고춧가루,설탕,물엿,마늘,참기름,후추"
#수미네반찬 #황태해장국만들기 #황태해장국,황태해장국,"황태,들기름,마늘,물,쪽파"
굴밥 만드는 법,굴밥,"쌀,물,굴"
오징어불고기(불금에 네가 땡긴다~),오징어불고기,"오징어,깻잎,포도씨유  고추장,고춧가루,진간장,맛술,올리고당,마늘,후추"
(설날)녹두전/녹두빈대떡(w.즉석양파피클):광장시장에 왜 가니?,녹두전,"돼지고기,불린 녹두,물,쌀가루,데친 숙주,삶은 고사리, 김치, 대파, 돼지고기"
닭도리탕 매운닭볶음탕 만드는법,닭도리탕,"닭,손질오징어링,감자,양파,대파,당면,떡,물,깨  고추장,고춧가루,간장,굴소스,맛술,마늘,후추,카레가루,물"
속풀이 오징어무국 ,오징어무국,"오징어,무,대파,청양고추,다시마,물  청양고추가루,마늘,맛술,간장,소금"
백종원 콩나물불고기 간단히 완성하는 콩불레시피!,콩나물불고기,"돼지고기,콩나물,양파,쪽파 대 간장,고춧가루,고추장,마늘,참기름,맛술,후추"
두찌 현장 체험 학습 도시락으로 싼 참치 김밥..,참치김밥,"참치캔,계란지단 줄,단무지 줄,맛살 줄,깻잎 줄,김밥용김, 청양고추"
[간편한 볶음요리] 오삼불고기 황금레시피,오삼불고기,"반건조오징어,삼겹살,가지,당근,양파,고추 고추가루,고운고추가루,꿀,깨소금,간장,마늘,후추"
쭈꾸미 볶음 만드는 법. 봄 제철 음식 주꾸미 손질하는 법. 불향이 있어 더 맛있어요.,쭈꾸미볶음,"쭈꾸미,양파,당근,고구마,청양고추  고추장,고운 고춧가루,마늘,생강즙,매실액,맛술,간장,설탕"
치킨너겟으로 간단하게 만드는 치킨마요덮밥,치킨마요덮밥,"남은 치킨 ,양파,달걀,공깃 마요네즈,식용유 간장,맛술,올리고 당 또는 꿀"
고추잡채,고추잡채,"청고추,꽈리고추, 돼지고기,고춧기름,마늘,대파,중국간장,청주,생강가루,감자전분,달걀흰자,굴소스,참기름,바게트,또띠아"
초복에 닭 백숙과 부추로 보신하기,닭백숙,"닭,물,양파,통마늘,대파,부추  고춧가루, 닭,마늘,파,연겨자,간장,식초,설탕"
얼큰한 황태 콩나물국 뽀얀국물이 해장하기에 최고죠~~^^,황태콩나물국,"콩나물 ,황태채,멸치 다시마 육수,대파,청양고추  새우젓, 마늘,국간장,후추"
단백한 오징어튀김  에어프라이어 오징어튀김,오징어튀김,"생물오징어,마른오징어 몸통 튀김가루,탄산수 또는 물,얼음  계란,마요네즈,머스타드,올리고당,피클,양파,레몬즙,파슬리,소금,후추"
온가족이 좋아하는 소불고기 요리  만드는 법 정말 간단해도 맛은 너무 좋지요 :),소불고기,"소불고기,양파,대파,팽이버섯,느타리버섯 설탕,물엿,매실액,마늘,간장,후추,참기름"
기름떡볶이 황금레시피,기름떡볶이,"떡볶이떡,들기름, 마늘,간장,고춧가루,설탕,깨"
돼지불고기 맛있게 만들기,돼지불고기,"돼지앞다리살   된장,고추가루,설탕,굴소스,참기름,진간장,미림,마늘,후추 꼬집"
돈까스김밥 만들기,돈까스김밥,"흰  돈까스살,순살어묵 줄,깻잎,당근,우엉볶음,김밥용 김 머스터드 소스,[밥밑간],설탕,식초,소금"
♥[신혼밥상] 한국의 맛! 고추장 삼겹살,고추장삼겹살,"삼겹살,양파 고추가루,고추장,간장,설탕,올리고당,미림,마늘,참기름"
미역국 특별한 날 먹는 소고기 미역국,소고기미역국,"돌미역,소고기양지,물  마늘,국간장,참기름,후추 살짝"
참치볶음밥,참치볶음밥,"참치 캔 캔,양파,당근  ,호박, 소금,후추,참기름,깨,간장"
잡채,잡채,"돼지고기,당면  ,시금치 단,당근,양파,표고버섯"
강황 채소 이유식,이유식,"두부,양배추,당근,청경채,브로콜리"
굴비조림  고사리를 넣어 더 맛있는 저녁메뉴,굴비조림,"굴비,무,양파,호박,대파,청양고추,물  고춧가루,간장,맛술,마늘,설탕,생강가루,후추,깨소금"
빠르고 쉽게 시금치 된장국 끓이기,시금치된장국,"시금치 단,갈치포머리,다시멸치,쌀뜨물  된장,처음부터육수,마늘,파"
오징어볶음 황금레시피 ,오징어볶음,"오징어,양파,당근 채,대파,양배추,풋고추,홍고추  고추장,고추가루,설탕,물엿,청주,간장,마늘,생강,깨소금,후추,참기름,깨  카레가루,고추가루,식용유"
소고기불고기전골 황금레시피 양념 만들기 ,불고기전골,"소고기,느타리버섯,표고버섯,대파,양파,달걀,당면,다시마물,깨  간장,맛술,조청,설탕, 마늘,후추,참기름,배즙,사과즙"
여름철 별미! 속까지 시원하게~ 미역오이냉국 황금레시피,미역오이냉국,"말린 미역,오이,홍고추  설탕,식초,소금,마늘,깨  녹차티백,뜨거운 물,차가운 물,설탕,식초,소금"
순대볶음 만들기 ,순대볶음,"냉장순대,양파,양배추,버섯,당근,부추,후추,깻잎 장,당면사리,참기름,들깨가루,깨,올리브유 고추장,진간장,마늘,맛술,생수"
점심.저녁메뉴로 좋은 닭갈비 만들기,닭갈비,"닭,떡볶이떡 움큼,고구마,당근,양배추 통,대파  고추장,간장,올리고당,마늘,설탕,물"
별미로 먹는 쌈장볶음밥 ,쌈장볶음밥,"돼지고기,쪽파 대,마늘,양파,쌈장 ,김가루  밑간,소금,후추"
아이 도시락으로 좋은 참치유부초밥& 소고기볶음유부초밥 만들기,참치유부초밥,"초밥세트,양파,참치 캔,마요네즈,소금 꼬집,파"
라면으로만드는몽글수제비!,수제비,"밀가루,호박,감자,대파 게,청양고추,시금치,단호박가루,생수 리터  디포리,대파,소금,국간장,마늘,깨,양파"
가자미조림 매콤하게 만드는 생선조림,가자미조림,"가자미,양파,대파,무,육수  고추가루,간장,맛술,설탕,마늘,생강,참기름,후추"
봄부추는 인삼보다 좋다- 꽃빵과부추잡채,부추잡채,"돼지고기,부추,양파,파프리카,올리브유,마늘 쪽 굴소스,참기름  맛술,꽃소금,후추"
돈가스 김치나베 김치요리,돈가스김치나베,"치즈돈가스,쉰김치,양파,달걀,대파,물  간장,설탕,맛술,물"
추운날 생각나는 어묵탕 끓이는법,어묵탕,"어묵,야채,버섯,유부 국간장,소금,멸치,다시마,홍합"
유부초밥:유부조림부터 초밥양념까지,유부초밥," 조미 유부,계란 지단,시금치,당근, 햄 줄,맛살 줄,어묵 줄,단무지 줄 맛소금,참기름,검은깨,들깨"
명절날 먹는 만둣국,만두국,"만두 드실만큼,물,파 대,달걀,김  소금"
추억의 계란 볶음밥,계란볶음밥,"대파,계란,쌀 버터,후추,굴소스"
아이들 국추천 오징어무국 만드는법 ,오징어무국,"오징어,무,대파,홍고추,청고추,다시팩  간장,마늘,소금"
묵은지 닭볶음탕 만들기,묵은지닭볶음탕,"닭,묵은지,감자,양파,청양고추,마늘,대파,소금  고추장,고추가루,올리고당,간장,후추"
매콤한 쭈꾸미볶음  맛나다 전해라~~,쭈꾸미볶음,"쭈꾸미,달래,실파,양파,느타리 버섯 다발,청양고추,마늘 알 고추장 ,설탕,매실청,식초,간장,고춧가루,소주"
소고기미역국 맛있게 끓이는 법 ,소고기미역국,"국거리용쇠고기,불린미역 ,참기름,국간장,소금,냉수,마늘"
고구마줄기볶음,고구마줄기볶음,"고구마,마늘,간장,된장,설탕,들기름,깨,콩가루"
두부조림 보다 100배 맛있는 두부강정 반찬 황금 레시피,두부강정,"두부,대파,생강  고추장,케첩,간장,굴소스,올리고당,설탕,참기름,청주,식용유"
충무꼬지김밥,충무김밥,"오징어,어묵,죽순, 김밥김,파,마늘 설탕,물엿,고춧가루,진간장,액젓,참기름,깨,소금"
입 안에서 통통하게 씹히는 통오징어구이!!,통오징어구이,"오징어,실파,깨,포도씨유  고추장,고춧가루,간장,올리고당,미림,마늘,후추"
영양듬뿍 몸보신에 딱 좋은 전복장 만들기,전복장,"전복 중짜리,양파,홍고추,다시마 다시마장,청양고추,황태포 머리,말린표고버섯,다시멸치,무,마늘,물  국간장,진간장,설탕,올리고당,통후추 알,깨"
근대된장국 만드는법 ,근대된장국,"근대  쌀뜨물,멸치가루,새우가루,표고버섯가루,된장,청고추,홍고추,마늘,들깨가루"
